Date,mean,std,count
2023-05-31,-0.36515886,0.2829185,395
2023-06-30,-0.35562056,0.27598235,293
2023-06-30,-0.3433107,0.28990838,88
2023-07-31,-0.34965438,0.26757696,50
2023-07-31,-0.39704132,0.29013768,265
2023-08-31,-0.41490063,0.30145237,79
2023-08-31,-0.37600723,0.27591154,305
2023-09-30,-0.33126548,0.27852926,62
2023-09-30,-0.3615468,0.26763305,220
2023-10-31,-0.36395824,0.28536943,254
2023-10-31,-0.44560465,0.27380997,57
2023-11-30,-0.38646868,0.2679439,68
2023-11-30,-0.37478173,0.28304324,257
2023-12-31,-0.363714,0.2572211,55
2023-12-31,-0.33548486,0.26920176,253
2024-01-31,-0.37383956,0.2510986,54
2024-01-31,-0.39374214,0.28032672,268
2024-02-29,-0.36453062,0.27239782,59
2024-02-29,-0.3731592,0.2793341,265
2024-03-31,-0.41786802,0.2948443,61
2024-03-31,-0.38443813,0.26709628,253
2024-04-30,-0.3340352,0.24971746,69
2024-04-30,-0.37703753,0.28675425,264
2024-05-31,-0.3532529,0.2879934,70
2024-05-31,-0.35594812,0.28811985,296
2024-06-30,-0.36828616,0.29278278,272
2024-06-30,-0.28509712,0.2463648,59
2024-07-31,-0.3709942,0.2901177,71
2024-07-31,-0.37564546,0.28167874,285
2024-08-31,-0.39273053,0.2781275,80
2024-08-31,-0.34965298,0.2894035,321
2024-09-30,-0.34494007,0.25634807,64
2024-09-30,-0.38130727,0.2632412,239
2024-10-31,-0.3566133,0.28276503,54
2024-10-31,-0.35848567,0.27686924,232
2024-11-30,-0.4434206,0.22290444,13
2024-11-30,-0.68298566,,1
